2021-01-20 09:42:24,665 : DEBUG : ModalContext :  : Joiner2NodeFactory : Shift Assignment : 4 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,271 : DEBUG : ModalContext :  : WorkflowManager : Shift Assignment : 4:28 : Added new connection from node 4:28:0:22:21(1) to node 4:28:0:22(0)
2021-01-20 09:42:25,271 : DEBUG : ModalContext :  : WorkflowManager : Shift Assignment : 4:28 : Added new connection from node 4:28:0:22(0) to node 4:28:0:22:19(1)
2021-01-20 09:42:25,272 : DEBUG : ModalContext :  : Workflow : Shift Assignment : 4:28 : Triggering graph analysis on 4:28:0:22
2021-01-20 09:42:25,275 : DEBUG : ModalContext :  : DataColumnSpecFilterNodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,279 : DEBUG : ModalContext :  : CreateFilenameNodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,312 : DEBUG : ModalContext :  : SorterNodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,319 : DEBUG : ModalContext :  : GroupByNodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,319 : DEBUG : ModalContext :  : HiLiteHandler : Output : 4:47 : Adding hilite translator to handler 3e1d4eb1-9eeb-4c8f-9d93-dbf54d7244e9
2021-01-20 09:42:25,325 : DEBUG : ModalContext :  : GroupByNodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,325 : DEBUG : ModalContext :  : HiLiteHandler : Output : 4:47 : Adding hilite translator to handler 045c2a70-c907-429c-af89-978bd469b990
2021-01-20 09:42:25,327 : DEBUG : ModalContext :  : RenameNodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,330 : DEBUG : ModalContext :  : RenameNodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,332 : DEBUG : ModalContext :  : AppendedRowsNodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,333 : DEBUG : ModalContext :  : HiLiteHandler : Output : 4:47 : Adding hilite manager to handler e9f0d590-ac31-429e-a925-e8de3494bfea
2021-01-20 09:42:25,333 : DEBUG : ModalContext :  : HiLiteHandler : Output : 4:47 : Adding hilite translator to handler 74753cb9-f06f-4155-9db0-768358292416
2021-01-20 09:42:25,335 : DEBUG : ModalContext :  : ColorManager2NodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,339 : DEBUG : ModalContext :  : GroupByNodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,339 : DEBUG : ModalContext :  : HiLiteHandler : Output : 4:47 : Adding hilite translator to handler 4280525a-24be-4cb8-ac99-678dafb0669d
2021-01-20 09:42:25,341 : DEBUG : ModalContext :  : ColumnResorterNodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,349 : DEBUG : ModalContext :  : FileDownloadWidgetNodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,353 : DEBUG : ModalContext :  : PagedTableViewNodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,360 : DEBUG : ModalContext :  : ExcelTableWriterNodeFactory : Output : 4:47 : Factory is already initialized. Nothing to do.
2021-01-20 09:42:25,369 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:40(1) to node 4:47:0:41(1)
2021-01-20 09:42:25,369 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:42(1) to node 4:47:0:43(2)
2021-01-20 09:42:25,369 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:41(1) to node 4:47:0:43(1)
2021-01-20 09:42:25,369 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:47(1) to node 4:47:0:45(1)
2021-01-20 09:42:25,369 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:43(1) to node 4:47:0:44(1)
2021-01-20 09:42:25,369 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:47(1) to node 4:47:0:40(1)
2021-01-20 09:42:25,369 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:38(1) to node 4:47:0:46(1)
2021-01-20 09:42:25,369 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:44(2) to node 4:47:0:36(2)
2021-01-20 09:42:25,369 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:47(1) to node 4:47:0:39(1)
2021-01-20 09:42:25,369 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:46(1) to node 4:47:0:36(1)
2021-01-20 09:42:25,370 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:45(1) to node 4:47:0:38(1)
2021-01-20 09:42:25,370 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:39(1) to node 4:47:0:42(1)
2021-01-20 09:42:25,370 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:47(1) to node 4:47:0:32(1)
2021-01-20 09:42:25,370 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:51(0) to node 4:47:0:35(1)
2021-01-20 09:42:25,370 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:35(1) to node 4:47:0:49(1)
2021-01-20 09:42:25,370 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:32(1) to node 4:47:0:51(1)
2021-01-20 09:42:25,370 : DEBUG : ModalContext :  : WorkflowManager : Output : 4:47 : Added new connection from node 4:47:0:47(1) to node 4:47:0:50(1)
2021-01-20 09:42:25,370 : DEBUG : ModalContext :  : HiLiteHandler : Output : 4:47 : Adding hilite translator to handler 2fdb3f39-78e1-437a-ab35-1b1aef034a5c
2021-01-20 09:42:25,371 : DEBUG : ModalContext :  : HiLiteHandler : Output : 4:47 : Adding hilite translator to handler 2fdb3f39-78e1-437a-ab35-1b1aef034a5c
2021-01-20 09:42:25,371 : DEBUG : ModalContext :  : HiLiteHandler : Output : 4:47 : Adding hilite translator to handler 2fdb3f39-78e1-437a-ab35-1b1aef034a5c
